>L24048.1.1786, Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Malpighiales;Rhizanthes;Rhizanthes infanticida
>KY625563.1.1200, Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp.
>LC027448.1.1402, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;Pantoea sp. NIASMII
>LC150329.1.1203, Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus
>HF548460.1.1443, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;Klebsiella sp. P3-4
>JQ453386.1.1398, Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseria;uncultured bacterium
>JQ712525.1.1317, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;uncultured Enterobacter sp.
>JF920367.1.1344, Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum;uncultured bacterium
>GQ068694.1.1346, Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;uncultured bacterium
>AF177666.1.1522, Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Bordetella;Bordetella avium
>HQ728325.1.1503, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus sp. SIX2(2011)
>AB088049.1.1398, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;Citrobacter sp. VA53
>JF947354.1.1456, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus lutrae
>JN102572.1.1472, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus gallinarum
>AB302407.1.2962, Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum sp. M0H
>HM287222.1.1343, Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;uncultured bacterium
>AB638851.1.1358, Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia sp. 30A
>HM352320.1.1429, Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. CmNA6
>AY830408.1.1481, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;uncultured Enterococcus sp.
>HQ157184.1.1482, Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia thraciensis
>HQ111064.1.1484, Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;Sporosarcina sp. WB6
>CP007216.111367.112896, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Newport str.
>DQ070798.1.1399, Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;uncultured gamma proteobacterium
>DQ818423.1.1467, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;uncultured bacterium
>JN874252.1.1477, Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter;uncultured bacterium
>HM807929.1.1367, Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured bacterium
>DQ408647.1.3463, Eukaryota;SAR;Rhizaria;Retaria;Foraminifera;Globothalamea;Rotaliida;Pseudoparrellidae;Epistominella;Epistominella vitrea
>JQ228518.1.1406, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Copenhagen
>KX073806.1.1468, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis
>JQ045825.1.1355, Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus luteus
>HQ116749.1.1459, Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Comamonas;uncultured bacterium
